warn: The `get_runtime_isa` function is deprecated. Please migrate away from using this function.
warn: The se.py script is deprecated. It will be removed in future releases of  gem5.
warn: The `get_runtime_isa` function is deprecated. Please migrate away from using this function.
Global frequency set at 1000000000000 ticks per second
src/mem/dram_interface.cc:690: warn: DRAM device capacity (8192 Mbytes) does not match the address range assigned (16384 Mbytes)
src/base/statistics.hh:279: warn: One of the stats is a legacy stat. Legacy stat is a stat that does not belong to any statistics::Group. Legacy stat is deprecated.
src/base/remote_gdb.cc:418: warn: Sockets disabled, not accepting gdb connections
src/sim/process.cc:396: warn: Checkpoints for pipes, device drivers and sockets do not work.
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 23.0.0.1
gem5 compiled Apr  6 2026 01:50:35
gem5 started Apr  6 2026 05:04:29
gem5 executing on b49ce2a326be, pid 129608
command line: /opt/gem5/build/X86/gem5.opt --outdir=/workspace/results_l3/1MB/policy0Config3/bwaves /workspace/configs/run_spec_l3.py --rp-type=DSBRP --l3-size=1MB --l3-assoc=16 --cpu-type=DerivO3CPU --cmd=./speed_bwaves_base.gem5-x86 --options=bwaves_1 --mem-size=16GB --maxinst=250000000 --caches --l2cache --l1d_size=32kB --l1i_size=32kB --l1d_assoc=8 --l1i_assoc=8 --l2_size=256kB --l2_assoc=8 --checkpoint-restore=1 --checkpoint-dir=/workspace/checkpoints/bwaves/m5out --restore-with-cpu=AtomicSimpleCPU --standard-switch=1 --warmup-insts=50000000 --input=bwaves_1.in --dsb-enable-bypass=true --dsb-enable-aging=false --dsb-bypass-counter=3 --dsb-virtual-bypass-counter=3 --dsb-random-promotion=0 --dsb-minimum-bypass-counter=12

info: Standard input is not a terminal, disabling listeners.
Replacement policy: DSBRP
L1I size: 32kB, assoc: 8
L1D size: 32kB, assoc: 8
L2 size: 256kB, assoc: 8
L3 size: 1MB, L3 assoc: 16
Switch at instruction count:1
src/sim/simulate.cc:194: info: Entering event queue @ 26022662981500.  Starting simulation...
src/sim/simulate.cc:194: info: Entering event queue @ 26022662983500.  Starting simulation...
src/sim/power_state.cc:105: warn: PowerState: Already in the requested power state, request ignored
Switched CPUS @ tick 26022662983500
switching cpus
Switch at instruction count:50000000
src/sim/simulate.cc:194: info: Entering event queue @ 26022662984000.  Starting simulation...
[DSB @ 100000 calls] bc=0 isBypassOn=true| real=94748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 200000 calls] bc=0 isBypassOn=true| real=194748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 300000 calls] bc=0 isBypassOn=true| real=294748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 400000 calls] bc=0 isBypassOn=true| real=394748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 500000 calls] bc=0 isBypassOn=true| real=494748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 600000 calls] bc=0 isBypassOn=true| real=594748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 700000 calls] bc=0 isBypassOn=true| real=694748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 800000 calls] bc=0 isBypassOn=true| real=794748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 900000 calls] bc=0 isBypassOn=true| real=894748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1000000 calls] bc=0 isBypassOn=true| real=994748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1100000 calls] bc=0 isBypassOn=true| real=1094748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1200000 calls] bc=0 isBypassOn=true| real=1194748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1300000 calls] bc=0 isBypassOn=true| real=1294748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1400000 calls] bc=0 isBypassOn=true| real=1394748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1500000 calls] bc=0 isBypassOn=true| real=1494748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1600000 calls] bc=0 isBypassOn=true| real=1594748 virt=698 notrack=4553 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
src/sim/simulate.cc:194: info: Entering event queue @ 26278346199500.  Starting simulation...
Switching CPUS @ tick 26278346199500
Simulation ends instruction count:250000000
switching cpus
**** REAL SIMULATION ****
src/sim/simulate.cc:194: info: Entering event queue @ 26278346201500.  Starting simulation...
[DSB @ 1700000 calls] bc=0 isBypassOn=true| real=1694743 virt=699 notrack=4557 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1800000 calls] bc=0 isBypassOn=true| real=1794743 virt=699 notrack=4557 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 1900000 calls] bc=0 isBypassOn=true| real=1894743 virt=699 notrack=4557 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 2000000 calls] bc=0 isBypassOn=true| real=1994743 virt=699 notrack=4557 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 2100000 calls] bc=0 isBypassOn=true| real=2094739 virt=699 notrack=4561 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 2200000 calls] bc=0 isBypassOn=true| real=2194739 virt=699 notrack=4561 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 2300000 calls] bc=0 isBypassOn=true| real=2294739 virt=699 notrack=4561 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 2400000 calls] bc=0 isBypassOn=true| real=2394739 virt=699 notrack=4561 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 2500000 calls] bc=0 isBypassOn=true| real=2494739 virt=699 notrack=4561 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
[DSB @ 2600000 calls] bc=0 isBypassOn=true| real=2594739 virt=699 notrack=4561 | touchRes=233(eff=106,ineff=127) resetRes=0(ineff=0,eff=0) | bc++=127 bc--=106 inv=0
