Policy,Benchmark,IPC,L1D_Miss_Rate,L2_Miss_Rate,L1D_Avg_Miss_Latency,L2_Avg_Miss_Latency,L2_Replacements,L2_Hits,L2_Misses,L2_Accesses,L2_Demand_Hits,L2_Demand_Misses,L2_Demand_Accesses,L2_Writebacks,L2_Tags_In_Use,L2_Avg_Occupancy,L2_Total_Refs,L2_Sampled_Refs,L2_Avg_Refs,L1D_Hits,L1D_Misses,L1D_Accesses,L1D_Replacements,Num_Cycles,Committed_Insts
dsb_bc0,exchange2,1.755309,2e-06,1.0,77960.526316,80804.754149,0.0,,12894.0,12894.0,,12894.0,12894.0,,0.0,,0.0,0.0,,23650899.0,38.0,23650937.0,21.0,0.0,
dsb_bc0,imagick,1.905255,0.002725,1.0,79372.063786,76170.582594,0.0,,41710.0,41710.0,,41710.0,41710.0,,0.0,,0.0,0.0,,16591788.0,45339.0,16637127.0,41321.0,0.0,
dsb_bc0,lbm,0.256788,0.081993,1.0,89125.191813,87419.527129,0.0,,6870421.0,6870421.0,,6870421.0,6870421.0,,0.0,,0.0,0.0,,79536819.0,7103891.0,86640710.0,6870288.0,0.0,
dsb_bc0,leela,2.253862,0.000131,1.0,93523.809524,93568.895349,0.0,,1720.0,1720.0,,1720.0,1720.0,,0.0,,0.0,0.0,,14705987.0,1932.0,14707919.0,1717.0,0.0,
dsb_bc0,mcf,1.177343,0.0066,1.0,92869.923432,62717.184717,0.0,,863622.0,863622.0,,863622.0,863622.0,,0.0,,0.0,0.0,,62963825.0,418319.0,63382144.0,332211.0,169873981.0,
dsb_bc0,nab,0.548541,0.005117,1.0,80247.814234,63601.908344,0.0,,552521.0,552521.0,,552521.0,552521.0,,0.0,,0.0,0.0,,15833079.0,81436.0,15914515.0,46950.0,0.0,
dsb_bc0,omnetpp,0.287155,0.043941,1.0,88280.030971,88949.53125,0.0,,1269548.0,1269548.0,,1269548.0,1269548.0,,0.0,,0.0,0.0,,20474873.0,941044.0,21415917.0,538184.0,0.0,
dsb_bc0,perlbench,0.175711,0.034451,1.0,88188.318151,88010.123111,0.0,,2051000.0,2051000.0,,2051000.0,2051000.0,,0.0,,0.0,0.0,,20540267.0,732882.0,21273149.0,470532.0,0.0,
dsb_bc0,xalancbmk,0.25589,0.137619,1.0,82939.85196,88371.802694,0.0,,1706202.0,1706202.0,,1706202.0,1706202.0,,0.0,,0.0,0.0,,16437565.0,2623121.0,19060686.0,1164933.0,0.0,
dsb_bc0,xz,2.017924,0.014124,1.0,73260.424621,74311.122233,0.0,,42959.0,42959.0,,42959.0,42959.0,,0.0,,0.0,0.0,,14992265.0,214780.0,15207045.0,42957.0,0.0,
