warn: The `get_runtime_isa` function is deprecated. Please migrate away from using this function.
warn: The se.py script is deprecated. It will be removed in future releases of  gem5.
warn: The `get_runtime_isa` function is deprecated. Please migrate away from using this function.
Global frequency set at 1000000000000 ticks per second
src/mem/dram_interface.cc:690: warn: DRAM device capacity (8192 Mbytes) does not match the address range assigned (16384 Mbytes)
src/base/statistics.hh:279: warn: One of the stats is a legacy stat. Legacy stat is a stat that does not belong to any statistics::Group. Legacy stat is deprecated.
src/base/remote_gdb.cc:418: warn: Sockets disabled, not accepting gdb connections
src/sim/process.cc:396: warn: Checkpoints for pipes, device drivers and sockets do not work.
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 23.0.0.1
gem5 compiled Apr  6 2026 01:50:35
gem5 started Apr  6 2026 02:31:26
gem5 executing on b49ce2a326be, pid 100785
command line: /opt/gem5/build/X86/gem5.opt --outdir=/workspace/results_l3/1MB/policy0Config1/bwaves /workspace/configs/run_spec_l3.py --rp-type=DSBRP --l3-size=1MB --l3-assoc=16 --cpu-type=DerivO3CPU --cmd=./speed_bwaves_base.gem5-x86 --options=bwaves_1 --mem-size=16GB --maxinst=250000000 --caches --l2cache --l1d_size=32kB --l1i_size=32kB --l1d_assoc=8 --l1i_assoc=8 --l2_size=256kB --l2_assoc=8 --checkpoint-restore=1 --checkpoint-dir=/workspace/checkpoints/bwaves/m5out --restore-with-cpu=AtomicSimpleCPU --standard-switch=1 --warmup-insts=50000000 --input=bwaves_1.in --dsb-enable-bypass=true --dsb-enable-aging=false --dsb-bypass-counter=6 --dsb-virtual-bypass-counter=4 --dsb-random-promotion=0 --dsb-minimum-bypass-counter=8

info: Standard input is not a terminal, disabling listeners.
Replacement policy: DSBRP
L1I size: 32kB, assoc: 8
L1D size: 32kB, assoc: 8
L2 size: 256kB, assoc: 8
L3 size: 1MB, L3 assoc: 16
Switch at instruction count:1
src/sim/simulate.cc:194: info: Entering event queue @ 26022662981500.  Starting simulation...
src/sim/simulate.cc:194: info: Entering event queue @ 26022662983500.  Starting simulation...
src/sim/power_state.cc:105: warn: PowerState: Already in the requested power state, request ignored
Switched CPUS @ tick 26022662983500
switching cpus
Switch at instruction count:50000000
src/sim/simulate.cc:194: info: Entering event queue @ 26022662984000.  Starting simulation...
[DSB @ 100000 calls] bc=8 isBypassOn=false| real=37 virt=6251 notrack=93711 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=4221
[DSB @ 200000 calls] bc=8 isBypassOn=false| real=37 virt=12569 notrack=187393 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=9283
[DSB @ 300000 calls] bc=8 isBypassOn=false| real=37 virt=18750 notrack=281212 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=14255
[DSB @ 400000 calls] bc=8 isBypassOn=false| real=37 virt=24961 notrack=375001 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=19252
[DSB @ 500000 calls] bc=8 isBypassOn=false| real=37 virt=31265 notrack=468697 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=24304
[DSB @ 600000 calls] bc=8 isBypassOn=false| real=37 virt=37503 notrack=562459 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=29329
[DSB @ 700000 calls] bc=8 isBypassOn=false| real=37 virt=43861 notrack=656101 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=34407
[DSB @ 800000 calls] bc=8 isBypassOn=false| real=37 virt=50191 notrack=749771 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=39533
[DSB @ 900000 calls] bc=8 isBypassOn=false| real=37 virt=56545 notrack=843417 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=44653
[DSB @ 1000000 calls] bc=8 isBypassOn=false| real=37 virt=62675 notrack=937287 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=49630
[DSB @ 1100000 calls] bc=8 isBypassOn=false| real=37 virt=68809 notrack=1031153 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=54567
[DSB @ 1200000 calls] bc=8 isBypassOn=false| real=37 virt=75051 notrack=1124911 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=59575
[DSB @ 1300000 calls] bc=8 isBypassOn=false| real=37 virt=81269 notrack=1218693 | touchRes=595(eff=25,ineff=570) resetRes=0(ineff=0,eff=0) | bc++=570 bc--=25 inv=64573
