l2_size,policy,benchmark,miss_rate,replacements,demand_hits,demand_misses,sim_insts,host_seconds
2MB,lru,leela,0.138233,319,1970,316,300000003,98.57
2MB,lru,exchange2,0.004771,0,23362,112,300000002,139.07
2MB,lru,deepsjeng,1,14285711,,14285711,650000002,1734.82
2MB,lru,xz,1,42961,,42959,650000002,175.84
2MB,lru,lbm,0.974496,4582720,119934,4582538,550000002,771.31
2MB,lru,imagick,0.724819,30217,11458,30180,300000002,132.59
2MB,lru,nab,0.052746,29253,522982,29121,300000005,145.53
2MB,brrip,omnetpp,0.017887,22615,1234886,22491,300000002,189.91
2MB,brrip,mcf,0.181759,35779,141923,31526,300000004,127.78
2MB,brrip,xalancbmk,0.006231,10595,1673494,10493,300000004,167.19
2MB,brrip,perlbench,0.041660,42936,975245,42395,300000005,157.73
2MB,brrip,leela,0.089676,209,2081,205,300000003,97.04
2MB,brrip,exchange2,0.004771,0,23362,112,300000002,140.51
2MB,brrip,deepsjeng,1,14285711,,14285711,650000002,1796.61
2MB,brrip,xz,1,42961,,42959,650000002,175.73
2MB,brrip,lbm,0.974504,5774400,119875,4581864,550000002,793.76
2MB,brrip,imagick,0.724819,30225,11458,30180,300000002,130.75
2MB,brrip,nab,0.052803,29402,523007,29156,300000005,146.10
4MB,dsb,omnetpp,0.017768,22380,1234788,22337,300000002,192.22
4MB,dsb,mcf,0.177277,30777,142707,30750,300000004,129.39
4MB,dsb,xalancbmk,0.006092,10297,1673831,10259,300000004,165.50
4MB,dsb,perlbench,0.030364,30880,986131,30881,300000005,159.08
4MB,dsb,leela,0.001312,0,2283,3,300000003,99.38
4MB,dsb,exchange2,0.004771,0,23362,112,300000002,139.99
4MB,dsb,deepsjeng,1,14285710,,14285711,650000002,1801.22
4MB,dsb,xz,1,42952,,42959,650000002,172.10
4MB,dsb,lbm,0.974490,4582576,119962,4582603,550000002,780.69
4MB,dsb,imagick,0.724812,30214,11458,30179,300000002,132.66
4MB,dsb,nab,0.052734,29237,523051,29118,300000005,146.12
4MB,lru,omnetpp,0.017746,22369,1235708,22325,300000002,188.64
4MB,lru,mcf,0.177276,30777,142708,30750,300000004,128.69
4MB,lru,xalancbmk,0.006092,10298,1674053,10260,300000004,165.55
4MB,lru,perlbench,0.030361,30883,986321,30883,300000005,158.00
4MB,lru,leela,0.001312,0,2283,3,300000003,98.69
4MB,lru,exchange2,0.004771,0,23362,112,300000002,139.30
4MB,lru,deepsjeng,1,14285711,,14285711,650000002,1759.12
4MB,lru,xz,1,42961,,42959,650000002,169.37
4MB,lru,lbm,0.974479,4582767,120020,4582691,550000002,774.64
4MB,lru,imagick,0.724812,30214,11458,30179,300000002,129.61
4MB,lru,nab,0.052736,29235,522989,29116,300000005,146.05
4MB,brrip,omnetpp,0.017719,22339,1235191,22281,300000002,191.09
4MB,brrip,mcf,0.176568,32659,142830,30627,300000004,128.29
4MB,brrip,xalancbmk,0.006020,10160,1673426,10135,300000004,165.70
4MB,brrip,perlbench,0.031105,31733,985651,31643,300000005,158.11
4MB,brrip,leela,0.001312,0,2283,3,300000003,98.51
4MB,brrip,exchange2,0.004771,0,23362,112,300000002,139.14
4MB,brrip,deepsjeng,1,14285711,,14285711,650000002,1791.27
4MB,brrip,xz,1,42961,,42959,650000002,169.86
4MB,brrip,lbm,0.974493,4585470,119949,4582558,550000002,777.05
4MB,brrip,imagick,0.724819,30199,11458,30180,300000002,130.33
4MB,brrip,nab,0.052778,29335,523024,29142,300000005,146.26
